subdet,layer,waferu,waferv,tc_eta,tc_phi
1,3,10,3,1.535025,2.8537395
1,3,10,4,1.5447042,2.735627
1,3,10,5,1.5540006,2.6219692
1,3,10,6,1.5499442,2.5047302
1,3,10,7,1.5369905,2.3918796
1,5,-10,-7,1.5458457,-0.75043595
1,5,-10,-6,1.5566465,-0.6327465
1,5,-10,-5,1.5595781,-0.52070194
1,5,-10,-4,1.5637168,-0.41313276
1,5,-10,-3,1.5420843,-0.28970626
1,5,-9,-8,1.5686927,-0.94684917
1,5,-9,-7,1.6086287,-0.8345312
1,5,-9,-6,1.6354572,-0.71581405
1,5,-9,-5,1.6557152,-0.5856162
1,5,-9,-4,1.6503522,-0.4586127
1,5,-9,-3,1.6396956,-0.33677304
1,5,-9,-2,1.6100496,-0.21294796
1,5,-9,-1,1.5721589,-0.10650307
1,5,-8,-9,1.5752375,-1.1501313
1,5,-8,-8,1.6274041,-1.0479134
1,5,-8,-7,1.6834924,-0.9306399
1,5,-8,-6,1.7327513,-0.7973022
1,5,-8,-5,1.7618421,-0.6710765
1,5,-8,-4,1.7671146,-0.5249703
1,5,-8,-3,1.7604729,-0.3764142
1,5,-8,-2,1.7268004,-0.24307263
1,5,-8,-1,1.6881773,-0.114709236
1,5,-8,0,1.6337464,-0.001631574
1,5,-8,1,1.578503,0.098398365
1,5,-7,-10,1.5391178,-1.3449948
1,5,-7,-9,1.606421,-1.2593143
1,5,-7,-8,1.6808703,-1.1703211
1,5,-7,-7,1.7517468,-1.0471855
1,5,-7,-6,1.8150626,-0.9151982
1,5,-7,-5,1.8667653,-0.7625365
1,5,-7,-4,1.8931588,-0.60589606
1,5,-7,-3,1.8918179,-0.44006273
1,5,-7,-2,1.86413,-0.28193945
1,5,-7,-1,1.8152983,-0.12999034
1,5,-7,0,1.7505702,-0.000293706
1,5,-7,1,1.6854928,0.115622744
1,5,-7,2,1.603581,0.21794347
1,5,-7,3,1.5472444,0.2929479
1,5,-6,-10,1.5542934,-1.4473943
1,5,-6,-9,1.635986,-1.3795116
1,5,-6,-8,1.730521,-1.2865572
1,5,-6,-7,1.8215767,-1.1835902
1,5,-6,-6,1.901187,-1.0505226
1,5,-6,-5,1.9809885,-0.89186656
1,5,-6,-4,2.0269487,-0.7182087
1,5,-6,-3,2.0423064,-0.52206373
1,5,-6,-2,2.023087,-0.33445346
1,5,-6,-1,1.9745251,-0.15588214
1,5,-6,0,1.9038157,0.001576874
1,5,-6,1,1.8166053,0.13633281
1,5,-6,2,1.7248689,0.23951362
1,5,-6,3,1.6408678,0.33657506
1,5,-6,4,1.5560728,0.413794
1,5,-5,-10,1.5687532,-1.575422
1,5,-5,-9,1.6504862,-1.5138797
1,5,-5,-8,1.7631158,-1.4262385
1,5,-5,-7,1.8646064,-1.3289443
1,5,-5,-6,1.969542,-1.2026088
1,5,-5,-5,2.0816126,-1.0462614
1,5,-5,-4,2.1604855,-0.857131
1,5,-5,-3,2.2166307,-0.6390244
1,5,-5,-2,2.2171805,-0.40974692
1,5,-5,-1,2.1612012,-0.1904241
1,5,-5,0,2.0819278,0.002962265
1,5,-5,1,1.9772853,0.15257554
1,5,-5,2,1.8593754,0.28418046
1,5,-5,3,1.7574031,0.38338447
1,5,-5,4,1.659688,0.4549811
1,5,-5,5,1.5627633,0.5250369
1,5,-4,-10,1.5538254,-1.6851852
1,5,-4,-9,1.6533626,-1.626349
